"row_id","time_curr","sector_curr","movers","max_move_left"
2,1899-12-31 09:02:00,4,"한화오션 | HD현대중공업",4
2,1899-12-31 09:02:00,6,"현대건설 | 한전기술 | 두산에너빌리티",6
3,1899-12-31 09:03:00,1,"현대로템 | 한화에어로스페이스",4
3,1899-12-31 09:03:00,6,"성광벤드",7
4,1899-12-31 09:04:00,8,"한미반도체 | SK하이닉스 | 심텍",3
5,1899-12-31 09:05:00,3,"한화오션",3
6,1899-12-31 09:06:00,5,"성광벤드 | 한국카본 | 태광",3
7,1899-12-31 09:07:00,2,"한화오션 | HD현대중공업 | HD현대마린엔진",3
8,1899-12-31 09:08:00,7,"한미반도체 | 심텍 | SK하이닉스",3
9,1899-12-31 09:09:00,8,"LS | 효성중공업 | 산일전기",3
10,1899-12-31 09:10:00,4,"한국카본 | 성광벤드",3
11,1899-12-31 09:11:00,3,"한국카본 | 성광벤드",3
11,1899-12-31 09:11:00,6,"켄코아에어로스페이스 | 세아베스틸지주 | 에이치브이엠",3
12,1899-12-31 09:12:00,8,"에코프로 | 엔켐",4
13,1899-12-31 09:13:00,1,"HD현대마린엔진 | HD현대중공업 | 한화오션",3
13,1899-12-31 09:13:00,4,"엠앤씨솔루션 | SNT다이내믹스 | 한화시스템",3
13,1899-12-31 09:13:00,7,"포스코퓨처엠 | 엔켐",4
18,1899-12-31 09:18:00,5,"세아베스틸지주 | 에이치브이엠 | 켄코아에어로스페이스",3
19,1899-12-31 09:19:00,7,"현대건설 | 한전기술 | 두산에너빌리티",3
20,1899-12-31 09:20:00,7,"HD현대 | 효성 | SK스퀘어",6
22,1899-12-31 09:22:00,3,"엠앤씨솔루션 | SNT다이내믹스 | 파이버프로",3
26,1899-12-31 09:27:00,7,"효성중공업 | LS | HD현대일렉트릭",3
28,1899-12-31 09:29:00,3,"성광벤드 | 한국카본 | 태광",3
28,1899-12-31 09:29:00,6,"효성중공업 | HD현대일렉트릭",4
29,1899-12-31 09:30:00,7,"HD현대 | 효성 | 두산",3
30,1899-12-31 09:31:00,7,"가온전선 | 대원전선 | LS에코에너지",3
31,1899-12-31 09:32:00,6,"HD현대 | 효성 | 두산",6
31,1899-12-31 09:32:00,8,"파마리서치 | 실리콘투",4
32,1899-12-31 09:33:00,7,"파마리서치 | 에이피알",4
33,1899-12-31 09:34:00,8,"효성중공업 | HD현대일렉트릭",4
35,1899-12-31 09:36:00,6,"한미반도체 | SK하이닉스 | 하나머티리얼즈",6
37,1899-12-31 09:38:00,4,"한미반도체 | SK하이닉스 | 심텍",6
38,1899-12-31 09:39:00,3,"한미반도체 | SK하이닉스",3
38,1899-12-31 09:39:00,6,"두산",5
39,1899-12-31 09:40:00,8,"효성중공업 | HD현대일렉트릭 | LS",3
40,1899-12-31 09:41:00,7,"효성중공업 | HD현대일렉트릭 | LS",3
40,1899-12-31 09:41:00,8,"파마리서치 | 에이피알",4
41,1899-12-31 09:42:00,2,"한미반도체 | SK하이닉스",3
42,1899-12-31 09:43:00,2,"한화에어로스페이스 | LIG넥스원",4
46,1899-12-31 09:47:00,4,"엠앤씨솔루션 | SNT다이내믹스 | 파이버프로",3
50,1899-12-31 09:51:00,2,"한미반도체 | SK하이닉스",3
52,1899-12-31 09:53:00,8,"가온전선 | LS에코에너지",4
54,1899-12-31 09:55:00,1,"한미반도체 | SK하이닉스 | 하나머티리얼즈",3
54,1899-12-31 09:55:00,8,"파마리서치 | 실리콘투 | 제닉",3
55,1899-12-31 09:56:00,5,"SK스퀘어 | 두산 | HD현대",3
56,1899-12-31 09:57:00,1,"HD현대마린엔진 | 한화오션 | STX엔진",3
58,1899-12-31 09:59:00,7,"파마리서치 | 실리콘투 | 제닉",3
61,1899-12-31 10:02:00,1,"한미반도체 | SK하이닉스 | 하나머티리얼즈",3
61,1899-12-31 10:02:00,7,"HD현대일렉트릭 | 효성중공업 | LS",3
62,1899-12-31 10:04:00,4,"SK스퀘어 | HD현대 | 두산",3
65,1899-12-31 10:07:00,5,"성광벤드 | 태광 | 한국카본",3
70,1899-12-31 10:12:00,7,"파마리서치 | 제닉",4
71,1899-12-31 10:13:00,1,"한화오션 | HD현대마린엔진 | HD현대중공업",3
72,1899-12-31 10:14:00,4,"성광벤드 | 태광 | 한국카본",3
73,1899-12-31 10:15:00,2,"한화에어로스페이스 | 현대로템 | LIG넥스원",3
73,1899-12-31 10:15:00,4,"엠앤씨솔루션 | SNT다이내믹스 | 한화시스템",6
73,1899-12-31 10:15:00,7,"HD현대일렉트릭 | 효성중공업 | LS",3
74,1899-12-31 10:16:00,7,"에이치브이엠 | 세아베스틸지주 | 켄코아에어로스페이스",7
81,1899-12-31 10:23:00,5,"SK스퀘어 | HD현대",3
85,1899-12-31 10:27:00,5,"성광벤드 | 태광 | 한국카본",3
86,1899-12-31 10:28:00,8,"파마리서치 | 실리콘투 | 제닉",3
87,1899-12-31 10:29:00,8,"HD현대일렉트릭 | 효성중공업 | LS",3
89,1899-12-31 10:31:00,5,"에이치브이엠 | 세아베스틸지주 | 켄코아에어로스페이스",6
92,1899-12-31 10:34:00,6,"성광벤드 | 태광 | 한국카본",3
92,1899-12-31 10:34:00,8,"파마리서치 | 실리콘투 | 제닉",3
100,1899-12-31 10:43:00,1,"한화에어로스페이스 | 현대로템 | LIG넥스원",3
106,1899-12-31 10:49:00,6,"SK스퀘어 | HD현대 | 두산",3
113,1899-12-31 10:56:00,1,"HD현대마린엔진 | 한화오션 | HD현대중공업",3
114,1899-12-31 10:57:00,8,"디앤디파마텍 | 리가켐바이오 | 올릭스",3
118,1899-12-31 11:01:00,1,"한화에어로스페이스 | 현대로템 | LIG넥스원",3
118,1899-12-31 11:01:00,8,"키움증권 | 미래에셋증권",4
121,1899-12-31 11:04:00,1,"HD현대마린엔진 | 한화오션 | HD현대중공업",3
125,1899-12-31 11:08:00,5,"SK스퀘어 | HD현대 | 효성",3
126,1899-12-31 11:09:00,8,"제닉 | 실리콘투",4
127,1899-12-31 11:10:00,7,"제닉 | 파마리서치 | 실리콘투",3
130,1899-12-31 11:13:00,5,"에이치브이엠 | 켄코아에어로스페이스 | 세아베스틸지주",3
133,1899-12-31 11:16:00,6,"제닉 | 파마리서치 | 실리콘투",3
133,1899-12-31 11:16:00,8,"디앤디파마텍 | 리가켐바이오 | 올릭스",3
134,1899-12-31 11:17:00,5,"제닉 | 파마리서치 | 실리콘투",3
138,1899-12-31 11:22:00,7,"디앤디파마텍 | 리가켐바이오 | 올릭스",3
142,1899-12-31 11:26:00,6,"디앤디파마텍 | 리가켐바이오 | 올릭스",3
145,1899-12-31 11:29:00,6,"에이치브이엠 | 켄코아에어로스페이스 | 세아베스틸지주",3
151,1899-12-31 11:35:00,6,"디앤디파마텍 | 리가켐바이오 | 올릭스",3
157,1899-12-31 11:41:00,5,"디앤디파마텍 | 리가켐바이오 | 올릭스",3
158,1899-12-31 11:42:00,4,"디앤디파마텍 | 리가켐바이오 | 올릭스",3
159,1899-12-31 11:43:00,3,"디앤디파마텍 | 리가켐바이오 | 올릭스",3
160,1899-12-31 11:44:00,8,"HD현대일렉트릭 | 효성중공업 | 일진전기",3
161,1899-12-31 11:45:00,5,"제닉 | 파마리서치 | 실리콘투",3
162,1899-12-31 11:46:00,4,"제닉 | 파마리서치 | 실리콘투",3
165,1899-12-31 11:49:00,3,"제닉 | 파마리서치 | 실리콘투",3
172,1899-12-31 11:56:00,6,"에이치브이엠 | 켄코아에어로스페이스",4
175,1899-12-31 12:00:00,8,"SK스퀘어 | HD현대 | 효성",3
179,1899-12-31 12:04:00,4,"SK하이닉스 | 한미반도체 | 심텍",3
180,1899-12-31 12:05:00,8,"HD현대일렉트릭 | 효성중공업 | LS",3
183,1899-12-31 12:08:00,5,"에이치브이엠 | 세아베스틸지주 | 켄코아에어로스페이스",3
187,1899-12-31 12:12:00,5,"디앤디파마텍 | 리가켐바이오 | 올릭스",3
188,1899-12-31 12:13:00,3,"SK하이닉스 | 한미반도체 | 심텍",3
188,1899-12-31 12:13:00,7,"HD현대일렉트릭 | 효성중공업 | LS",3
190,1899-12-31 12:15:00,6,"HD현대일렉트릭 | 효성중공업 | LS",3
191,1899-12-31 12:16:00,5,"HD현대일렉트릭 | 효성중공업 | LS",3
191,1899-12-31 12:16:00,7,"SNT다이내믹스 | 엠앤씨솔루션 | 한화시스템",3
195,1899-12-31 12:20:00,5,"디앤디파마텍 | 리가켐바이오 | 올릭스",3
195,1899-12-31 12:20:00,8,"하이브 | JYP",4
196,1899-12-31 12:21:00,3,"제닉 | 파마리서치 | 실리콘투",3
199,1899-12-31 12:24:00,4,"디앤디파마텍 | 리가켐바이오 | 올릭스",3
201,1899-12-31 12:26:00,5,"HD현대일렉트릭 | 효성중공업 | LS",3
202,1899-12-31 12:27:00,4,"HD현대일렉트릭 | 효성중공업 | LS",3
202,1899-12-31 12:27:00,8,"에이치브이엠 | 켄코아에어로스페이스",4
203,1899-12-31 12:28:00,5,"SK하이닉스 | 한미반도체 | 심텍",3
205,1899-12-31 12:30:00,3,"HD현대일렉트릭 | 효성중공업 | LS",3
206,1899-12-31 12:31:00,5,"에이치브이엠 | 켄코아에어로스페이스 | 세아베스틸지주",9
207,1899-12-31 12:32:00,6,"SNT다이내믹스 | 엠앤씨솔루션 | 한화시스템",6
208,1899-12-31 12:33:00,7,"디앤디파마텍 | 리가켐바이오 | 올릭스",3
212,1899-12-31 12:38:00,3,"제닉 | 파마리서치 | 실리콘투",3
215,1899-12-31 12:41:00,4,"에이치브이엠 | 켄코아에어로스페이스 | 세아베스틸지주",3
219,1899-12-31 12:45:00,3,"켄코아에어로스페이스 | 에이치브이엠 | 세아베스틸지주",3
224,1899-12-31 12:50:00,3,"제닉 | 파마리서치 | 실리콘투",3
228,1899-12-31 12:54:00,4,"HD현대일렉트릭 | 효성중공업 | LS",3
229,1899-12-31 12:55:00,7,"SK하이닉스 | 한미반도체 | 심텍",3
233,1899-12-31 12:59:00,6,"SK하이닉스 | 한미반도체 | 심텍",3
238,1899-12-31 13:04:00,4,"에이치브이엠 | 켄코아에어로스페이스 | 세아베스틸지주",3
243,1899-12-31 13:09:00,6,"SNT다이내믹스 | 한화시스템 | 엠앤씨솔루션",3
244,1899-12-31 13:10:00,8,"와이지엔터테인먼트 | 하이브 | JYP",3
247,1899-12-31 13:13:00,7,"와이지엔터테인먼트 | 하이브 | JYP",3
248,1899-12-31 13:15:00,5,"SNT다이내믹스 | 한화시스템 | 엠앤씨솔루션",3
255,1899-12-31 13:22:00,8,"디앤디파마텍 | 리가켐바이오 | 올릭스",3
259,1899-12-31 13:26:00,3,"에이치브이엠 | 세아베스틸지주 | 켄코아에어로스페이스",3
262,1899-12-31 13:29:00,8,"GS피앤엘 | 파라다이스 | 롯데관광개발",3
263,1899-12-31 13:30:00,3,"제닉 | 파마리서치 | 실리콘투",3
282,1899-12-31 13:49:00,6,"와이지엔터테인먼트 | 에스엠",4
289,1899-12-31 13:57:00,4,"SNT다이내믹스 | 파이버프로 | 한화시스템",3
309,1899-12-31 14:17:00,7,"GS피앤엘 | 파라다이스",3
315,1899-12-31 14:23:00,5,"와이지엔터테인먼트 | 에스엠",4
315,1899-12-31 14:23:00,6,"GS피앤엘 | 파라다이스 | 서부T",3
316,1899-12-31 14:24:00,5,"GS피앤엘 | 파라다이스 | 서부T",3
317,1899-12-31 14:25:00,7,"HD현대일렉트릭 | 효성중공업 | LS",3
321,1899-12-31 14:29:00,3,"SNT다이내믹스 | 한화시스템 | 파이버프로",3
327,1899-12-31 14:36:00,5,"와이지엔터테인먼트 | 에스엠 | 하이브",3
327,1899-12-31 14:36:00,7,"에이치브이엠 | 세아베스틸지주 | 켄코아에어로스페이스",3
334,1899-12-31 14:43:00,7,"HD현대일렉트릭 | 효성중공업 | LS",3
335,1899-12-31 14:44:00,4,"와이지엔터테인먼트 | 하이브 | 에스엠",3
338,1899-12-31 14:47:00,5,"GS피앤엘 | 서부T",4
341,1899-12-31 14:50:00,3,"와이지엔터테인먼트 | 하이브 | 에스엠",3
342,1899-12-31 14:51:00,7,"에이치브이엠 | 켄코아에어로스페이스",4
350,1899-12-31 14:59:00,8,"디앤디파마텍 | 리가켐바이오 | 에이비엘바이오",3
353,1899-12-31 15:02:00,7,"디앤디파마텍 | 리가켐바이오 | 에이비엘바이오",3
356,1899-12-31 15:05:00,4,"GS피앤엘 | 서부T",4
356,1899-12-31 15:05:00,8,"HD현대일렉트릭 | 효성중공업 | LS",3
357,1899-12-31 15:06:00,5,"파마리서치 | 제닉 | 실리콘투",3
362,1899-12-31 15:12:00,4,"제닉 | 파마리서치 | 실리콘투",3
363,1899-12-31 15:13:00,4,"GS피앤엘 | 서부T | 파라다이스",3
364,1899-12-31 15:14:00,8,"에이치브이엠 | 켄코아에어로스페이스 | 세아베스틸지주",3
368,1899-12-31 15:18:00,6,"디앤디파마텍 | 리가켐바이오 | 에이비엘바이오",3
369,1899-12-31 15:19:00,6,"SNT다이내믹스 | 파이버프로",4
370,1899-12-31 15:19:00,5,"SNT다이내믹스 | 파이버프로 | 한화시스템",3
370,1899-12-31 15:19:00,6,"디앤디파마텍 | 리가켐바이오 | 에이비엘바이오",3
