"row_id","time_prev","time_curr","name","slot_prev","slot_curr","move_left","sector_curr"
2,1899-12-31 09:01:00,1899-12-31 09:02:00,"한화오션",13,10,3,4
2,1899-12-31 09:01:00,1899-12-31 09:02:00,"HD현대중공업",15,11,4,4
2,1899-12-31 09:01:00,1899-12-31 09:02:00,"현대건설",22,16,6,6
2,1899-12-31 09:01:00,1899-12-31 09:02:00,"한전기술",23,17,6,6
2,1899-12-31 09:01:00,1899-12-31 09:02:00,"두산에너빌리티",24,18,6,6
3,1899-12-31 09:02:00,1899-12-31 09:03:00,"현대로템",4,1,3,1
3,1899-12-31 09:02:00,1899-12-31 09:03:00,"한화에어로스페이스",6,2,4,1
3,1899-12-31 09:02:00,1899-12-31 09:03:00,"성광벤드",23,16,7,6
4,1899-12-31 09:03:00,1899-12-31 09:04:00,"한미반도체",25,22,3,8
4,1899-12-31 09:03:00,1899-12-31 09:04:00,"SK하이닉스",26,23,3,8
4,1899-12-31 09:03:00,1899-12-31 09:04:00,"심텍",27,24,3,8
5,1899-12-31 09:04:00,1899-12-31 09:05:00,"한화오션",10,7,3,3
6,1899-12-31 09:05:00,1899-12-31 09:06:00,"성광벤드",16,13,3,5
6,1899-12-31 09:05:00,1899-12-31 09:06:00,"한국카본",17,14,3,5
6,1899-12-31 09:05:00,1899-12-31 09:06:00,"태광",18,15,3,5
7,1899-12-31 09:06:00,1899-12-31 09:07:00,"한화오션",7,4,3,2
7,1899-12-31 09:06:00,1899-12-31 09:07:00,"HD현대중공업",8,5,3,2
7,1899-12-31 09:06:00,1899-12-31 09:07:00,"HD현대마린엔진",9,6,3,2
8,1899-12-31 09:07:00,1899-12-31 09:08:00,"한미반도체",22,19,3,7
8,1899-12-31 09:07:00,1899-12-31 09:08:00,"심텍",23,20,3,7
8,1899-12-31 09:07:00,1899-12-31 09:08:00,"SK하이닉스",24,21,3,7
9,1899-12-31 09:08:00,1899-12-31 09:09:00,"LS",25,22,3,8
9,1899-12-31 09:08:00,1899-12-31 09:09:00,"효성중공업",26,23,3,8
9,1899-12-31 09:08:00,1899-12-31 09:09:00,"산일전기",27,24,3,8
10,1899-12-31 09:09:00,1899-12-31 09:10:00,"한국카본",13,10,3,4
10,1899-12-31 09:09:00,1899-12-31 09:10:00,"성광벤드",14,11,3,4
11,1899-12-31 09:10:00,1899-12-31 09:11:00,"한국카본",10,7,3,3
11,1899-12-31 09:10:00,1899-12-31 09:11:00,"성광벤드",11,8,3,3
11,1899-12-31 09:10:00,1899-12-31 09:11:00,"켄코아에어로스페이스",19,16,3,6
11,1899-12-31 09:10:00,1899-12-31 09:11:00,"세아베스틸지주",20,17,3,6
11,1899-12-31 09:10:00,1899-12-31 09:11:00,"에이치브이엠",21,18,3,6
12,1899-12-31 09:11:00,1899-12-31 09:12:00,"에코프로",26,22,4,8
12,1899-12-31 09:11:00,1899-12-31 09:12:00,"엔켐",27,24,3,8
13,1899-12-31 09:12:00,1899-12-31 09:13:00,"HD현대마린엔진",4,1,3,1
13,1899-12-31 09:12:00,1899-12-31 09:13:00,"HD현대중공업",5,2,3,1
13,1899-12-31 09:12:00,1899-12-31 09:13:00,"한화오션",6,3,3,1
13,1899-12-31 09:12:00,1899-12-31 09:13:00,"엠앤씨솔루션",13,10,3,4
13,1899-12-31 09:12:00,1899-12-31 09:13:00,"SNT다이내믹스",14,11,3,4
13,1899-12-31 09:12:00,1899-12-31 09:13:00,"한화시스템",15,12,3,4
13,1899-12-31 09:12:00,1899-12-31 09:13:00,"포스코퓨처엠",23,19,4,7
13,1899-12-31 09:12:00,1899-12-31 09:13:00,"엔켐",24,21,3,7
18,1899-12-31 09:17:00,1899-12-31 09:18:00,"세아베스틸지주",16,13,3,5
18,1899-12-31 09:17:00,1899-12-31 09:18:00,"에이치브이엠",17,14,3,5
18,1899-12-31 09:17:00,1899-12-31 09:18:00,"켄코아에어로스페이스",18,15,3,5
19,1899-12-31 09:18:00,1899-12-31 09:19:00,"현대건설",22,19,3,7
19,1899-12-31 09:18:00,1899-12-31 09:19:00,"한전기술",23,20,3,7
19,1899-12-31 09:18:00,1899-12-31 09:19:00,"두산에너빌리티",24,21,3,7
20,1899-12-31 09:19:00,1899-12-31 09:20:00,"HD현대",25,19,6,7
20,1899-12-31 09:19:00,1899-12-31 09:20:00,"효성",26,20,6,7
20,1899-12-31 09:19:00,1899-12-31 09:20:00,"SK스퀘어",27,21,6,7
22,1899-12-31 09:21:00,1899-12-31 09:22:00,"엠앤씨솔루션",10,7,3,3
22,1899-12-31 09:21:00,1899-12-31 09:22:00,"SNT다이내믹스",11,8,3,3
22,1899-12-31 09:21:00,1899-12-31 09:22:00,"파이버프로",12,9,3,3
26,1899-12-31 09:26:00,1899-12-31 09:27:00,"효성중공업",22,19,3,7
26,1899-12-31 09:26:00,1899-12-31 09:27:00,"LS",23,20,3,7
26,1899-12-31 09:26:00,1899-12-31 09:27:00,"HD현대일렉트릭",24,21,3,7
28,1899-12-31 09:28:00,1899-12-31 09:29:00,"성광벤드",10,7,3,3
28,1899-12-31 09:28:00,1899-12-31 09:29:00,"한국카본",11,8,3,3
28,1899-12-31 09:28:00,1899-12-31 09:29:00,"태광",12,9,3,3
28,1899-12-31 09:28:00,1899-12-31 09:29:00,"효성중공업",19,16,3,6
28,1899-12-31 09:28:00,1899-12-31 09:29:00,"HD현대일렉트릭",21,17,4,6
29,1899-12-31 09:29:00,1899-12-31 09:30:00,"HD현대",22,19,3,7
29,1899-12-31 09:29:00,1899-12-31 09:30:00,"효성",23,20,3,7
29,1899-12-31 09:29:00,1899-12-31 09:30:00,"두산",24,21,3,7
30,1899-12-31 09:30:00,1899-12-31 09:31:00,"가온전선",22,19,3,7
30,1899-12-31 09:30:00,1899-12-31 09:31:00,"대원전선",23,20,3,7
30,1899-12-31 09:30:00,1899-12-31 09:31:00,"LS에코에너지",24,21,3,7
31,1899-12-31 09:31:00,1899-12-31 09:32:00,"HD현대",22,16,6,6
31,1899-12-31 09:31:00,1899-12-31 09:32:00,"효성",23,17,6,6
31,1899-12-31 09:31:00,1899-12-31 09:32:00,"두산",24,18,6,6
31,1899-12-31 09:31:00,1899-12-31 09:32:00,"파마리서치",25,22,3,8
31,1899-12-31 09:31:00,1899-12-31 09:32:00,"실리콘투",27,23,4,8
32,1899-12-31 09:32:00,1899-12-31 09:33:00,"파마리서치",22,19,3,7
32,1899-12-31 09:32:00,1899-12-31 09:33:00,"에이피알",24,20,4,7
33,1899-12-31 09:33:00,1899-12-31 09:34:00,"효성중공업",25,22,3,8
33,1899-12-31 09:33:00,1899-12-31 09:34:00,"HD현대일렉트릭",27,23,4,8
35,1899-12-31 09:35:00,1899-12-31 09:36:00,"한미반도체",22,16,6,6
35,1899-12-31 09:35:00,1899-12-31 09:36:00,"SK하이닉스",23,17,6,6
35,1899-12-31 09:35:00,1899-12-31 09:36:00,"하나머티리얼즈",24,18,6,6
37,1899-12-31 09:37:00,1899-12-31 09:38:00,"한미반도체",16,10,6,4
37,1899-12-31 09:37:00,1899-12-31 09:38:00,"SK하이닉스",17,11,6,4
37,1899-12-31 09:37:00,1899-12-31 09:38:00,"심텍",18,12,6,4
38,1899-12-31 09:38:00,1899-12-31 09:39:00,"한미반도체",10,7,3,3
38,1899-12-31 09:38:00,1899-12-31 09:39:00,"SK하이닉스",11,8,3,3
38,1899-12-31 09:38:00,1899-12-31 09:39:00,"두산",21,16,5,6
39,1899-12-31 09:39:00,1899-12-31 09:40:00,"효성중공업",25,22,3,8
